@relation Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Got this yesterday and like it, had before. Just to note, PowerShot A2500 is an entry-level pocket camera which is very similar to PowerShot A2300: 16-megapixel 1/2.3\" sensor, DiGiC 4 processor, and 5x zoom 28mm wide angle lens, 2.7\" LCD. Even 720p HD video capabilities are the same.Pros:1. What really distinguishes it from its predecessor is Smart Auto Mode recognizing 32 shooting environments and adjusts settings for better quality. It automatically selects the best shooting settings for optimal quality based on the environmental factors (lightning I guess) to provide point\'n\'shoot simplicity.2. 16.0 Megapixels, with loads of resolution pictures are still clear. High resolution is also good for producing biggest printouts.3. 5x Optical Zoom is sufficient in most cases.4. DIGIC 4 Image Processor. Not as fast as DIGIC 5 though fast and powerful enough to give you advanced system options, provide quick-shoot with reliable performance and low battery consumption. As far as I know DIGIC 4 is currently Canon\'s most efficient processor for budget cameras. BTW it has some Eco mode, that is said to be providing even faster warm-up times and saves the standard battery, but I haven\'t tested it yet.5. Very lightweight, just put it into your pocket, can take it everywhere.6. Price tag - $99. You can\'t get any better camera for the price.Cons:1. Like A2300 it lacks optical image stabilization, though it\'s got digital image stabilization.2. 1/2.3\" sensor. Well, entry level CCD providing good pictures, not of a DSLR quality, that\'s all I can say.Summary:Sure this is not the best camera in the world. I definitely knew it when I bought the camera. BUT, I was pleasantly surprised with the quality of pictures I shot.If you\'re like me (not a pro) and looking for a budget point-and-shoot camera taking family photos and events, mostly shoot in daylight or good lighting, I\'d definitely recommend it, taking into account its price tag of $99 - just about right.' string
@attribute ' positive' {' positive',' negetive'}

@data
'This is my 6th point and shoot (P&S) camera in 9 years, ranging in price from $200-$300. I have had 1 Bell & Howell, 3 Nikons and this is my 2nd Canon P&S camera. The last 2 P&S cameras I had I literally wore out by taking so many pictures. I bought this as a second camera for my husband (who doesn\'t usually take pictures) to use when he goes hunting with my son. I chose a Canon because I have a Canon DSLR and love it. I also wanted an inexpensive camera, because I thought it would sit on the shelf for most of the year. Of course it did not come with a memory card, as I have yet to buy any camera that does.To test this camera, after shooting indoors for a bit, I took it to the park. Luckily, what started out as a sunny day turned cloudy, allowing me to test the camera in different lighting. This is a typical low priced P&S camera.  Like all P&S cameras, this one performs best in bright, outdoor lighting. However, the ease of use and quality of pictures for the small price tag makes this a good buy. This is one of the better P&S cameras I have had.Although no instruction manual was in the box (other than the very basics), it was easy to figure out how to manually set this camera, which is a must for me. I liked the fact that it has a PROGRAM setting, which allows me to set a program manually. Even if I switch to another setting, it saves my manual settings, allowing me to switch back and forth between settings. That was great when I tested it, because the lighting went from sunny to cloudy and back again. I could easily switch from AUTO to LANDSCAPE to PROGRAM (my manually programmed settings) and back, depending on lighting and activity, all while holding my 6 month old. The pictures I took while holding my baby (who was trying to grab the camera) of my 4 other children who were riding a moving train turned out surprisingly good. I also manually adjusted the ISO to 1600 and took some shots while holding my squirming baby, and the pictures were not as noisy as I thought they would be.This is a great camera for the price. I would definitely recommend it for anyone, especially those who are ready to do some manual adjustments to get better pictures, but not ready to spend a lot of money. I am glad I bought this camera, and I am happy because I think I will actually use it more than I originally thought!',' positive'
'The camera takes excellent pictures and videos, the price... you can\'t go wrong. I just wish it came with a cable as well to transfer pictures to my PC, instead of having to remove the SD card. This does not come with a memory card, i bought a \"Transcend 16GB Class 10 SDHC Flash Memory Card (TS16GSDHC10E)\" together with this and it works well. The camera is very lightweight, and does not look nor feel as though it can withstand any small fall for shock impact, so be careful with it.Ok an edit to my review: I just tried taking pictures of the moon and venus phenomena (08-09-13) and i realized that this camera zoomed up to 16times! Not just up to x5! After x5 it kept going, x8...x10....x16! I got an awesome pic at x16 of the moon and the planet.',' positive'
'IT IS EASY TO USE AND THE QUALITY OF THE PICTURES IS AMAZING.  I DON\'T THINK THERE IS A BETTER CAMERA  IN THE PRICE RANGE OF THIS ONE.  JUST SPENT 12 DAYS IN ITALY AND TOOK OVER 1000 PHOTOS THAT ARE LIKE POST CARDS.',' positive'
'Bought this little camera at Wal-Mart for 99.00.  Very pleased as a amateur photographer just wanting the occasional picture to put on my computer.  Thanks to Canon.  They make good products.',' positive'
'This is my first digital camera and it\'s so easy even I can take great pictures. I especially like that I can take stills and videos with the same camera.  I highly recommend this camera.',' positive'
'As a long time Canon compact camera user my favorite new features on the A2500 are...The Canon PowerShot A2500 does not just stop at taking images but is rather adept at handling videos as well. It is capable of producing 720p HD files at the touch of a button. One of the thoughtful things about this camera is the inclusion of the movie button. You do not have to fidget about with all sorts of controls in order to get the video going. Rather you go back to that simple button and the rest is history.Another nice feature is that this product is newly minted with an ECO mode which is designed to reduce the power consumption on your camera.The Canon brand has made cameras its specialty and the Canon PowerShot A2500 holds true to type. This model brings out all the features that you would expect of a camera of its class but has the added advantage of making it easier for the consumer to access those features. In other words you get the best of both worlds with a great camera and easy usage.Verdict:There are no major surprises with the Canon PowerShot A2500. It is a great camera that does what it says on the box.If you are looking for the next model up check out the Canon SD330 as it has another level of features and quality.http://www.amazon.com/gp/product/B00B5HE3UU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00B5HE3UU&linkCode=as2&tag=stupisms-20',' positive'
'The best pocket camera on the market for the price! There are 3 different cameras by Cannon in this category, go with the A2500 for added overall quality for just a small increase in price! I had been looking at point & shoot cameras, reading all the specs. along with remarks by other customers for about 3 months. I got this for my wife for her birthday and she is very picky after going through 3 previous cameras unsuccessfully, she has been very happy with this one(finally)!',' positive'
'I bought this camera for my son for his 12th birthday because of the price and the fact that I have an older model Canon Powershot that I love.  I was disappointed when I received the camera.  It is very lightweight, to the point of feeling very cheap.  My son really liked it though, very easy to use.  The wrist strap that comes with the camera is not adjustable so it does not tighten on your wrist.  We were in a cave in Colorado three days after he received it and he was taking a picture and the camera slipped out of his hand and since the wrist strap was not tightened on his wrist, it fell to the rock floor and broke.  I called Canon to see about getting it repaired.  It was a minimum $89 plus shipping to and from.  The camera cost me $85 including shipping thru Amazon.  Obviously this was no one\'s fault but my son\'s (although obviously he did not intend to drop it) but I don\'t know why a reputable company like Canon would cut such a cheap corner on their wrist strap and not make it adjustable.  I called Amazon to see if by any chance they would let me purchase a new one a a reduced cost, not expecting them to let me, and understandably so.  The Amazon rep sent me a brand new camera with free shipping and even sent a pre-paid UPS label to return the broken camera.  I have always been so impressed with Amazon\'s customer service.  The camera is alright, takes good pictures, but definitely buy a better wrist strap for it.  But so grateful to Amazon for replacing this for us!',' positive'
'I have had other small digital cameras, but6 this one is much easier to use.  The buttons to turn it  ON/OFF are not tiny,.the Menu is clear. Everything is great about this tiny little camera.  The photos are very good.Evelyn',' positive'
'For the how much it is, it takes quality photos. I would recommend this camera to someone that like to point and shoot.',' positive'
'Excellent camera for the money. A memory card is not included so you will want to purchase one of those also if you do not already have one. The picture quality if very good and the camera a easy to use.',' positive'
'Perfect for the occasional photographer that want\'s a quality camera at a fair price.  Easy to use and to produce a quality photo.',' positive'
'I work in real estate and need a camera that is compact, simple and get\'s the job done. This is the camera!! Easy to adjust the settings and takes great pictures. Battery life is good. One thing, it doesn\'t come with a USB cable to sync to your computer. Easy fix, just take take the memory card and insert into your desktop or cpu. Or spend a few dollars to buy the cable on amazon.',' positive'
'Very happy with the product!!! thanks for everything!!!! I am very pleased with the product, I\'ll be in touch for future shopping, receive a hug from Venezuela...',' positive'
'its so collllllllllllllllllllllllllllllll i like it all the time i take it with me beacuse ilove itthank you sooo',' positive'
'A2500 replaced a more expensive Canon I got through Amex rewards. While traveling on the train or on the street in Manhattan I lost it.. It was very sleek and slippery LOL  Time went by, I found the need to have a camera beyong iphone, ipad. I ordered this camera and I am learning how to use it.What I have found is that I need to learn about: no blur, MACRO (close up) --for novices like me. I need  wide lens features and the ability to fade out unwanted subject in the background.. I have not learned how to use all the features. I have taken very nice shots and not so nice shots experimenting. I find that sharpness is something to be explored in the manual. I am sure Canon tries to keep cost down by not providing a printed out manual but I wanted one and I did the unthinkable:-- printed it out! put it in a three ring  binder! old school I guess! I can point and shoot as described in the product section of this listing. This camera is a nicely priced one and If I should get careless again only this time drive over it!, well it won\'t cost me an arm and a leg to replace!.. The manual consists of 109  pages! That means there is a lot to learn! I went to manual websites to see how much a manual would cost to buy. The manual service charges between $12.95 plus the shipping cost! and up.I had the typing paper and the ink so I printed it out!Hope this helps you! I am already researching another Canon digital 16 mega because I need close ups of moving animals! i.e. parrots! I would add I bought a .99cent cable UBS cord (reviewed) and two extra batteries from Clearmax and an extra battery recharger. The clearmax battery charges in one hour. The Canon battery that came with this camera charges in 21/2 hours. I bought a SD HC device/card 16GB.  Remember: the SDHC card DOES NOT come with the camera. I am going to get a case and more accessories for my camera. Hope this helps!  from a newbie',' positive'
'My daughter did some extensive research on digital cameras and decided to buy the Cannon PowerShot  A2500.  This was a Christmas gift for her dad.  Happy to say, he loved and he uses it everyday.  Great camera for the price.',' positive'
'This camera was the perfect fit for me.I don\'t know a whole lot about photography, but taking a class in highschool taught me a lot.I really like it because you can take action photographs with relatively little blur. Just set it to program and choose the settings that you think will make the picture look good, your intuition is probably better than the cameras. Turn on the grid, so that you can easily find the center of a photograph. I take a lot of outdoors pictures and I really like the way they turn out.',' positive'
'This is my third Canon camera I have had in the last fifteen years and I love them all.  They are simple to use and the pictures are beautiful.',' positive'
'This camera was a present for my 7 year old grandaughter. She loved it, therefore so do I. It made a terrific present for a young girl.',' positive'
'I own an SLR and if you\'re like me who just wants to take a picture of my daughters from time to time because they look so cute messy, drooling or just mesmerized by TV, then this is for you. high quality pic. I only have a 16gb card inside and it says i can store >3500 pics at max quality. I mean, do you really take that much before transferring to a drive? so cheap too. worth the money.',' positive'
'This is the second camera I\'ve received and love it. The first camera came without the charger in the box and no memory card which I was promised in my initial purchase.I have no problems with this camera and just downloaded the user\'s manual to learn all the different settings I need to know about. I\'ve got the time and date set, and I\'m ready to take birthday pictures this weekend as well as some things I\'m going to be selling on Craigslist.I would recommend this model of camera for anyone who just wants to \"click and shoot\".',' positive'
'We got this for my Dad for Christmas and he loves it.  It small enough to carry around and holds a lot of photos.  We bought him cords/adapters to hook directly to his iPad so no more messing with Kodak software/updates, etc.  So easy for him to use.',' positive'
'Got this for my daughter since it was relatively well priced but still a name-brand with all the features she needs (automatic still pics & video clips).  It\'s very easy to use.  Love the dedicated video record button.  The pictures come out great.It\'s a wonderful compact size and very light.  The only thing I\'d want changed on it is to have AA batteries.',' positive'
'I just got the camera today and I love it. It takes sharp pics and the auto mode is excellent. The one thing I noticed right away is how light it is. It doesn\'t feel as sturdy I I would like but that\'s just because of its light weight design.',' positive'
'I had this on my wish list for a couple of years. It was almost 200 at that time. I forgot it was there and never purchased it. I was looking for a camera to purchase for my  boyfriend as a gift and came across this. He absolutely loves it. The photographs are crisp and clear, and the stabilizer is the best I\'ve seen in any other point and shoot camera. I highly recommend this to everyone.',' positive'
'light weight easy to use big enough for easy manuvering perfect for the technologically disadvantaged ohh yeah bud dee zaaaa',' positive'
'Got this for my 7 yr old granddaughter and she loves it! I wanted something she could understand (although truly, she is way beyond this grandma in terms of technology!), but the basics are easily understood and the pics are great! No complaints.',' positive'
'It met my expectations and then some, the customer service department is awesome, had a small problem but they helped me, they are very knowledgeable.',' positive'
'camera is great. I can\'t use it because amazon didn\'t send me the free disc & camera case. that was supposed to come with it. i didn\'t realize i had to add them to the cart. i thought they were automaticlly sent with the camera as they were advertized as free with purchase of the camera',' positive'
'I bought this as a gift for my thirteen-year-old nephew. He loves the camera, and his family does, too. His mom reports that it takes better pictures than her iPhone camera, so the parents borrow it often. He learned to use the features quickly and is very careful with it. The red color distinguishes it for him. I am pleased.',' positive'
'The camera is exactly what I wanted.  The only problem I had and it was my fault, It didn\'t come with memory. I had to purchase that extra, but still a great camera thanks',' positive'
