Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,92.0,11.0,0.0,89.32038834951456,10.679611650485437,0.0,0.786588811452251,0.10004184196367227,0.3017351111417029,20.157374106598738,60.57848956070833,102.4325810539072,182.07819730327103,-79.64561624936383,0.9944910781932738,1.767749488381272,-0.7732584101879983,81.79253252804898,0.7941022575538736,8221.749970394043,0.8571428571428571,48.0,0.06382978723404255,3.0,0.9361702127659575,44.0,0.14285714285714285,8.0,0.9411764705882353,0.8571428571428571,0.897196261682243,0.9627659574468085,0.8932038834951457,0.09989081358633103,0.900109186413669,0.10679611650485436,0.8978166322540965,0.8932038834951457,0.8934055187571203,0.960945569097294,0.247,0.012,0.234375,0.015625,518776.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,93.0,10.0,0.0,90.29126213592232,9.70873786407767,0.0,0.8043313069908815,0.09497636039390334,0.30040900730648973,19.136733092521936,60.31225151159991,102.4325810539072,267.22223494744776,-164.78965389354056,0.9944910781932738,2.5943906305577453,-1.5998995523644715,82.78320615674824,0.8037204481237693,8321.33205479319,0.9107142857142857,51.0,0.10638297872340426,5.0,0.8936170212765957,42.0,0.08928571428571429,5.0,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9496580547112462,0.9029126213592233,0.09858131436834183,0.9014186856316582,0.0970873786407767,0.9029126213592233,0.9029126213592233,0.9029126213592233,0.949397999232744,0.25,0.014,0.25,0.015625,514060.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,92.0,11.0,0.0,89.32038834951456,10.679611650485437,0.0,0.782908603180686,0.10882868706627934,0.31910231390908744,21.92783055235573,64.06525285968888,102.4325810539072,180.85815155066743,-78.42557049676023,0.9944910781932738,1.7559043839870625,-0.7614133057937886,79.9879964192635,0.7765824895074126,8040.3587817315065,0.9464285714285714,53.0,0.1702127659574468,8.0,0.8297872340425532,39.0,0.05357142857142857,3.0,0.8688524590163934,0.9464285714285714,0.9059829059829059,0.9551671732522796,0.8932038834951457,0.116988078024021,0.883011921975979,0.10679611650485436,0.896102862599759,0.8932038834951457,0.8924859608834737,0.9551671732522796,0.279,0.011,0.28125,0.015625,521640.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,92.0,10.0,0.0,90.19607843137256,9.803921568627452,0.0,0.8035439137134053,0.09538035065110521,0.28445817635431386,19.23337579763315,57.16087032807834,101.30750025527432,96.61557800509374,4.691922250180582,0.993210786816415,0.9472115490695464,0.04599923774686845,81.72204962026854,0.8011965649045935,8213.486416866488,0.875,49.0,0.06521739130434782,3.0,0.9347826086956522,43.0,0.125,7.0,0.9423076923076923,0.875,0.9074074074074073,0.9767080745341615,0.9019607843137255,0.09217817561807332,0.9078218243819268,0.09803921568627451,0.9051885369532429,0.9019607843137255,0.9021877269426289,0.9767080745341615,0.251,0.012,0.25,0.015625,525358.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,99.0,3.0,0.0,97.05882352941177,2.9411764705882355,0.0,0.9409494403705133,0.031188544405323565,0.1595955325576865,6.289146465009418,32.07016109850757,101.30750025527432,11.876389383716418,89.4311108715579,0.993210786816415,0.11643519003643547,0.8767755967799795,94.9230405796361,0.9306180448983931,9540.253922548958,0.9464285714285714,53.0,0.0,0.0,1.0,46.0,0.05357142857142857,3.0,1.0,0.9464285714285714,0.9724770642201834,0.9992236024844721,0.9705882352941176,0.024159663865546216,0.9758403361344538,0.029411764705882353,0.9723889555822329,0.9705882352941176,0.9706478825233618,0.9992236024844722,0.241,0.013,0.234375,0.015625,515146.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,88.0,14.0,0.0,86.27450980392157,13.72549019607843,0.0,0.7229336437718278,0.12387445357781221,0.33536606167162347,24.942328007649547,67.27873404064813,101.55072194489493,287.7918492962308,-186.24112735133588,0.9955953131852444,2.8214887185904978,-1.8258934054052538,76.02837043830912,0.7453761807677365,7643.27660076531,0.8909090909090909,49.0,0.1702127659574468,8.0,0.8297872340425532,39.0,0.10909090909090909,6.0,0.8596491228070176,0.8909090909090909,0.875,0.9382978723404255,0.8627450980392157,0.14204877308757158,0.8579512269124283,0.13725490196078433,0.8628826969384245,0.8627450980392157,0.8624786871270248,0.9374957333029923,0.321,0.013,0.296875,0.0,517814.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,99.0,3.0,0.0,97.05882352941177,2.9411764705882355,0.0,0.9409038238702202,0.031044730211166303,0.1702156086946031,6.250908250017025,34.14743462665716,101.55072194489493,34.757690065369616,66.79303187952532,0.9955953131852444,0.34076166730754526,0.6548336458776992,95.26793670043915,0.9339993794160701,9577.46676915165,0.9636363636363636,53.0,0.02127659574468085,1.0,0.9787234042553191,46.0,0.03636363636363636,2.0,0.9814814814814815,0.9636363636363636,0.9724770642201834,0.995357833655706,0.9705882352941176,0.028228467402434863,0.9717715325975651,0.029411764705882353,0.9708151779230211,0.9705882352941176,0.9706081177038657,0.9953578336557061,0.274,0.014,0.265625,0.015625,510754.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,92.0,10.0,0.0,90.19607843137256,9.803921568627452,0.0,0.8020954598370198,0.10457895280014139,0.31251638979600566,21.05714671668863,62.69479674725251,101.55072194489493,94.3611845898256,7.189537355069334,0.9955953131852444,0.9251096528414274,0.070485660343817,80.15186072538863,0.785802556131261,8057.81891757442,0.9272727272727272,51.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.07272727272727272,4.0,0.8947368421052632,0.9272727272727272,0.9107142857142856,0.9794970986460348,0.9019607843137255,0.10234763150908333,0.8976523684909167,0.09803921568627451,0.9022818484118794,0.9019607843137255,0.9017704908050177,0.9794970986460347,0.238,0.011,0.234375,0.015625,517334.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,94.0,8.0,0.0,92.15686274509804,7.8431372549019605,0.0,0.8421663442940037,0.081129805384227,0.26560401333164474,16.335621741564747,53.28357223744829,101.55072194489493,81.11079016039048,20.439931784504452,0.9955953131852444,0.7952038251018675,0.20039148808337698,84.93058918536381,0.8326528351506256,8538.233573432086,0.9272727272727272,51.0,0.0851063829787234,4.0,0.9148936170212766,43.0,0.07272727272727272,4.0,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9802707930367505,0.9215686274509803,0.07940228315697653,0.9205977168430234,0.0784313725490196,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9802707930367504,0.394,0.014,0.234375,0.015625,513234.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,92.0,10.0,0.0,90.19607843137256,9.803921568627452,0.0,0.8020954598370198,0.09565838922049942,0.29354538596028096,19.260976349109505,58.888970018137684,101.55072194489493,140.7793442750497,-39.22862233015478,0.9955953131852444,1.3801896497553894,-0.38459433657014486,81.86459580296226,0.80259407649963,8230.003430622093,0.9272727272727272,51.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.07272727272727272,4.0,0.8947368421052632,0.9272727272727272,0.9107142857142856,0.9752417794970987,0.9019607843137255,0.10234763150908333,0.8976523684909167,0.09803921568627451,0.9022818484118794,0.9019607843137255,0.9017704908050177,0.9740831342208063,0.264,0.011,0.265625,0.015625,519620.0,362194.0,325339.0,?
