"Age is an issue of mind over matter. If you don\'t mind, it doesn\'t matter.", Age
"Wrinkles should merely indicate where smiles have been.", Age
"How incessant and great are the ills with which a prolonged old age is replete.", Age
"A diplomat is a man who always remembers a woman\'s birthday but never remembers her age.", Age
"Old age has deformities enough of its own. It should never add to them the deformity of vice.", Age
"As I grow older, I pay less attention to what men say. I just watch what they do.", Age
"An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.", Age
"Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.", Age
"All diseases run into one, old age.", Age
"Bashfulness is an ornament to youth, but a reproach to old age.", Age
"Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.", Age
"Like everyone else who makes the mistake of getting older, I begin each day with coffee and obituaries.", Age
"None are so old as those who have outlived enthusiasm.", Age
"Every man over forty is a scoundrel.", Age
"Forty is the old age of youth; fifty the youth of old age.", Age
"Old age is like everything else. To make a success of it, you\'ve got to start young.", Age
"Alas, after a certain age every man is responsible for his face.", Age
"You can\'t help getting older, but you don\'t have to get old.", Age
"Youth is when you\'re allowed to stay up late on New Year\'s Eve. Middle age is when you\'re forced to.", Age
"What most persons consider as virtue, after the age of 40 is simply a loss of energy.", Age
"I will never be an old man. To me, old age is always 15 years older than I am.", Age
"It was Julie Burchill who decreed that, beyond a certain age, a man should not be seen in a leather jacket.", Age
"Think back to yourself at age 18. I know I was mighty different than the Patti I am today. As we grow up, we grow out of our haircuts, our apartments and - often times - our romantic decisions.", Age
"I think computer science, by and large, is still stuck in the Modern age.", Age
"And from the first time I picked up a basketball at age eight - I had a lot of difficulty when I first picked up a basketball, because I was a scrub - there were things that I liked about it.", Age
"Middle Age - later than you think and sooner than you expect.", Age
"My parents got married late and they had kids late, so I never felt a social or cultural thing to be married or pregnant or a homeowner by a certain age.", Age
"Middle age is when your broad mind and narrow waist begin to change places.", Age
"I spent a lot of time not in school, so I didn\'t have deep relationships with kids my own age.", Age
"I\'m a pretty big dork. It\'s crazy. I\'m one of those people who grew up with all kinds of musicals, but I was right at that age where \'Rent\' was a big deal for me and for my friends.", Age
"We can no longer waste time and money. Every day, more than 2,000 girls in America, age 15-19, give birth - in the wealthiest, most educated nation in the world! Neither you nor I should accept this statistic.", Age
"I dainty little lass I wasn\'t. I looked twice my age until I turned 10 or 11.", Age
"I am rediscovering the whole sexual dimension of life at the age of 86, really. And that also means discovering the feminine. So the whole of this dimension, which I had been seeking for a very long time, is now sort of opening itself up to me.", Age
"Growing up on stage, I was introduced to makeup at a young age and I will never forget the first time I tried on a L\'Oreal Paris iconic lipstick - it was instant glamour and I\'ve been hooked ever since.", Age
"I want to sell to people my own age, because that\'s the way I write songs.", Age
"Despite what anti-aging ads say, growing older can be better. I feel better in my skin, 100 percent. You have greater effects of gravity, but the better sense of yourself you have is something I wouldn\'t trade. Women who lie about their age - \'why?\'", Age
"In a spiritually sensitive culture, then, it might well be that age is something to be admired or envied.", Age
"I refuse to age disgracefully in rock \'n\' roll.", Age
"I\'ve always been intrigued by color and by interesting hair. I was one of those weird little girls doing my own hair at the age of 9. I was, like, getting weird gels and new brushes and cornrow holders. I would tweak and perm at the age of 13.", Age
"I grew up loving horses. I was relatively obsessed, starting with my rocking horse at age 2, all the way through my painting and drawing phase.", Age
"I liked 35 and in both my novels that is the age of the lead characters. I tried making them my age but they just seemed to keep moaning about stuff.", Age
"I believe that parents need to make nutrition education a priority in their home environment. It\'s crucial for good health and longevity to instill in your children sound eating habits from an early age.", Age
"We incorporated new tastes and flavors into our kids\' diets from a very early age, which helped to develop their palates and prevented them from becoming picky eaters. We don\'t buy junk food and give them options of fresh fruit, yogurt, raw almonds, or dried whole grain cereals for snack time.", Age
"As a father, I believe that involving children in sports at a young age is generally, a wise proposition. I believe that healthy competition is... well... healthy; that sporting events foster a spirit of teamwork that far surpasses the events themselves; and that active participation keeps children moving and is good for their self-esteem.", Age
"Just as physical exercise is a well-known and well-accepted means to improve health for anyone, regardless of age or background, so can the brain be put \'into shape\' for optimal learning.", Age
"Age considers; youth ventures.", Age
"A man growing old becomes a child again.", Age
"Age is a very high price to pay for maturity.", Age
"I don\'t feel old. I don\'t feel anything till noon. That\'s when it\'s time for my nap.", Age
"When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.", Age
"Old age is no place for sissies.", Age
"I don\'t believe one grows older. I think that what happens early on in life is that at a certain age one stands still and stagnates.", Age
"Old minds are like old horses; you must exercise them if you wish to keep them in working order.", Age
"Men are like wine - some turn to vinegar, but the best improve with age.", Age
"There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.", Age
"Advice in old age is foolish; for what can be more absurd than to increase our provisions for the road the nearer we approach to our journey\'s end.", Age
"After thirty, a body has a mind of its own.", Age
"Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.", Age
"Growing old is no more than a bad habit which a busy person has no time to form.", Age
"Forty is the old age of youth, fifty is the youth of old age.", Age
"As I approve of a youth that has something of the old man in him, so I am no less pleased with an old man that has something of the youth. He that follows this rule may be old in body, but can never be so in mind.", Age
"I\'m happy to report that my inner child is still ageless.", Age
"I\'m not interested in age. People who tell me their age are silly. You\'re as old as you feel.", Age
"Youth is the gift of nature, but age is a work of art.", Age
"Old age comes on suddenly, and not gradually as is thought.", Age
"I think your whole life shows in your face and you should be proud of that.", Age
"The trick is growing up without growing old.", Age
"Old age is like a plane flying through a storm. Once you\'re aboard, there\'s nothing you can do.", Age
"What makes old age so sad is not that our joys but our hopes cease.", Age
"I want to get old gracefully. I want to have good posture, I want to be healthy and be an example to my children.", Age
"Old age is a shipwreck.", Age
"Old age is the most unexpected of all the things that can happen to a man.", Age
"You know you\'re getting old when all the names in your black book have M. D. after them.", Age
"In youth we run into difficulties. In old age difficulties run into us.", Age
"No one can avoid aging, but aging productively is something else.", Age
"Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.", Age
"Surrounding myself with beautiful women keeps me young.", Age
"Oh rage! Oh despair! Oh age, my enemy!", Age
"While one finds company in himself and his pursuits, he cannot feel old, no matter what his years may be.", Age
"Middle age is youth without levity, and age without decay.", Age
"If you haven\'t turned rebel by twenty you\'ve got no heart; if you haven\'t turned establishment by thirty you\'ve got no brains!", Age
"To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.", Age
"I don\'t want to fight aging; I want to take good care of myself, but plastic surgery and all that? I\'m not interested.", Age
"One of the many pleasures of old age is giving things up.", Age
"No man is ever old enough to know better.", Age
"The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.", Age
"We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.", Age
"Those who love deeply never grow old; they may die of old age, but they die young.", Age
"We pay when old for the excesses of youth.", Age
"In old age we are like a batch of letters that someone has sent. We are no longer in the past, we have arrived.", Age
"We\'ve put more effort into helping folks reach old age than into helping them enjoy it.", Age
"Whatever poet, orator or sage may say of it, old age is still old age.", Age
"Preparation for old age should begin not later than one\'s teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.", Age
"Youth is the best time to be rich, and the best time to be poor.", Age
"You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.", Age
"There is always some specific moment when we become aware that our youth is gone; but, years after, we know it was much later.", Age
"One of the many things nobody ever tells you about middle age is that it\'s such a nice change from being young.", Age
"As long as any adult thinks that he, like the parents and teachers of old, can become introspective, invoking his own youth to understand the youth before him, he is lost.", Age
"Old age is fifteen years older than I am.", Age
"It is sad to grow old but nice to ripen.", Age
"Inflation is when you pay fifteen dollars for the ten-dollar haircut you used to get for five dollars when you had hair.", Age
"My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.", Age
"Middle age is when your age starts to show around your middle.", Age
"After you\'re older, two things are possibly more important than any others: health and money.", Age
"I think when the full horror of being fifty hits you, you should stay home and have a good cry.", Age
"In youth the days are short and the years are long. In old age the years are short and day\'s long.", Age
"As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.", Age
"Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.", Age
"The aging process has you firmly in its grasp if you never get the urge to throw a snowball.", Age
"Age is how we determine how valuable you are.", Age
"If you\'re old, don\'t try to change yourself, change your environment.", Age
"To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.", Age
"Aging seems to be the only available way to live a long life.", Age
"The shades of respectability begin to close about the greying head.", Age
"Middle age: when you begin to exchange your emotions for symptoms.", Age
"Every age has a keyhole to which its eye is pasted.", Age
"I began to understand my sensations, to know what I wanted, at around the age of forty - but only vaguely.", Age
"I\'ve always felt that sexuality is a really slippery thing. In this day and age, it tends to get categorized and labeled, and I think labels are for food. Canned food.", Age
"I don\'t like to boast, but I have probably skipped more poetry than any other person of my age and weight in this country.", Age
"You have to be desirable. And that\'s why so many woman of my age or even younger are pushed to Botox and plastic surgery, all the things that people say, \'Why do women do this?\' Where do you go in your 50s in your career?", Age
"My ordination in the Church of God in Christ was at age 9, and I later became a Baptist minister, which I am today.", Age
"All my early school reports from the age of 5 were \'Daniel must learn not to distract others.\'", Age
"I just think that knowing about your body at any age, whether it\'s educating yourself on fertility, getting mammograms, going through puberty - whatever it may be, is really important. I just really encourage women empowerment and being comfortable talking about these issues.", Age
"And I\'m not as young as I once was. At my age, I don\'t have time to be bored.", Age
"Catholics and evangelicals need to remain allied, and in solidarity, against the increasingly aggressive secularism of our age.", Age
"We may be coming to a new golden age of instrument making.", Age
"Age acquires no value save through thought and discipline.", Age
"Well, once you\'ve resigned yourself to the fact that you are the more mature pop performer and you\'re past the age you ever thought you would do it, you might as well do it as long as you can. As long as I can still lift a microphone, then I\'ll do it, you know.", Age
"I was always too mature for my age - and not very happy. I had no young friends. I wish I could go back to those days. If I could only live it all again, how I would play and enjoy other girls. What a fool I was.", Age
"Even though I am extremely blessed to have accomplished many of my goals at such a young age, I am still reaching, still striving.", Age
"I don\'t find the technology threatening. A lot of people my age, my generation, find it difficult to immerse themselves. But I would never preclude the idea of using any technology if I thought it suited the end result.", Age
"The balance of private good and general welfare is at the bottom of civilized morals; but the morals of the Heroic Age are founded on individuality, and on nothing else.", Age
"In the modern media age we are rarely surprised by what we see. Whether it\'s on television or film or in the theatre, everything is so advertised, so trailed, that most entertainment is merely what you thought it was going to be like.", Age
"Mom claimed that I could carry a tune at 2 or 3 years of age. Maybe she was a little prejudiced.", Age
"I cannot say who, precisely, came up with the idea of a Stone Age family.", Age
"Maybe back in the day you didn\'t need to be the greatest looking to be on TV and you didn\'t need to speak the best, but in this day and age, I think you need to be the package. You need to look the part for your sponsors, you need to be able to speak the part for the media and to big CEOs.", Age
"The second album was emotionally exhausting and my life felt like it had become very serious at a very young age.", Age
"I am 54 and age is slowly writing itself on my face.", Age
"As an American, you have a right to good health care that is effective, accessible, and affordable, that serves you from infancy through old age, that allows you to go to practitioners and facilities of your choosing, and that offers a broad range of therapeutic options.", Age
"Low levels of vitamin D in the population as a whole suggest that most people need to take a vitamin D supplement. This may be especially true for seniors, as the ability to synthesize vitamin D in the skin declines with age.", Age
"Being gay and being a woman has one big thing in common, which is that we both become invisible after the age of 42. Who wants a gay 50-year-old? No one, let me tell you.", Age
"Your 40s are a major trough. About the age of 50, feelings of satisfaction begin to rebound and keep rising into your 50s, 60s and 70s, with health being a major factor.", Age
"I basically started playing violin at the age of six. That lasted about three years because my previous teacher died and the second teacher didn\'t really know how to successfully get me going.", Age
"I came back to work when my children were two months old. At that early age, they seem to have little awareness of anybody but their Raggedy Ann dolls, so it wasn\'t a matter of them missing me. I was missing them.", Age
"About the time I turned 50, I experienced the profound biological change that often accompanies women at that age. Also, I put two kids in college and lost both of my parents, so I\'m no longer somebody\'s daughter.", Age
"I think you have to be a little bit strict. You can\'t be friend and their parent in a lot of situations, especially in this day and age where it\'s so dangerous for kids. So there\'s a bit of sternness, I guess, in the way I raise my kids.", Age
"Listen, in England people are already writing their memoirs at the age of 23.", Age
"Old age is a woman\'s hell.", Age
"You just never know when you\'re living in a golden age.", Age
"People say women shouldn\'t have long hair over a certain age, but I\'ve never done what everyone says.", Age
"I could cook from quite an early age - purely because I liked it.", Age
"We started playing music from an early age and so we wasn\'t really aware of that side of it, the weird thing is the more successful you get the more free booze and drugs you get, they should be given to the bands who don\'t have the money.", Age
"We should bomb Vietnam back into the stone age.", Age
"I started out modeling at a young age and surrounded myself with different brilliant minds. I have so many people to get educated from, and I\'ve been a sponge.", Age
"There are signs that the age of petroleum has passed its zenith. Adjusted for inflation, a barrel of crude oil now sells for three times its long-run average. The large western oil companies, which cartellised the industry for much of the 20th century, are now selling more oil than they find, and are thus in the throes of liquidation.", Age
"I wear clothes that most people in the Midwest would probably deem inappropriate at my age. And I rock a bikini all summer long. I know that it\'s not normal, but I just don\'t care. I live once.", Age
"I\'m moving into that eldership age, you know? I\'m at the \'wise woman\' age where it\'s not about learning, but utilizing the information that I have in a way that serves other people. That\'s a high calling and it\'s a great responsibility.", Age
"Always, however brutal an age may actually have been, its style transmits its music only.", Age
"Most poetry in the modern age has retreated to the private sphere, turning its back on the political realm.", Age
"I was well motivated. What I wanted to do was work for myself. I had twenty two jobs before I started my business at the age of twenty three and I didn\'t want one more boss telling me what to do. So I was motivated simply because I didn\'t want a boss.", Age
"I\'ve had to be a man since I was 12 or 13. I had a job. And I was playing the piano for people twice my age. Handling responsibility is what makes a man a man.", Age
"We are in an electronic technology age now and it\'s about time we put away the old stuff.", Age
"To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.", Age
"The answer to old age is to keep one\'s mind busy and to go on with one\'s life as if it were interminable. I always admired Chekhov for building a new house when he was dying of tuberculosis.", Age
"The real sadness of fifty is not that you change so much but that you change so little.", Age
"There\'s no such thing as old age, there is only sorrow.", Age
"The really frightening thing about middle age is the knowledge that you\'ll grow out of it.", Age
"I\'m not afraid of aging.", Age
"The whole business of marshaling one\'s energies becomes more and more important as one grows older.", Age
"He has a profound respect for old age. Especially when it\'s bottled.", Age
"I get all fired up about aging in America.", Age
"There is an anti-aging possibility, but it has to come from within.", Age
"Age is like love, it cannot be hid.", Age
"When a noble life has prepared old age, it is not decline that it reveals, but the first days of immortality.", Age
"The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.", Age
"Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice; it whitens only the hair.", Age
"As men get older, the toys get more expensive.", Age
"The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.", Age
"I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.", Age
"Common sense is the collection of prejudices acquired by age eighteen.", Age
"Confusion of goals and perfection of means seems, in my opinion, to characterize our age.", Age
"Perfection of means and confusion of ends seem to characterize our age.", Age
"Reading, after a certain age, diverts the mind too much from its creative pursuits. Any man who reads too much and uses his own brain too little falls into lazy habits of thinking.", Age
"Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.", Age
"A man loves the meat in his youth that he cannot endure in his age.", Age
"In every country and every age, the priest had been hostile to Liberty.", Age
"I have never planned to have babies by a certain age.", Age
"I was very sexual from a very young age.", Age
"And at the same time, I had my very first concert at the age of 16. I hadn\'t heard a symphony orchestra before, and I was so deeply impressed I said I have to be a conductor.", Age
"Like I said on my bio on my webpage, I was born at an early age, I was close to my mother.", Age
"I think my fans will follow me into our combined old age. Real musicians and real fans stay together for a long, long time.", Age
"I hope to have one more boxing match at the age of 55. Given that demographic at the age of 55 to 65, you\'ve got to make a statement with your life. Otherwise, you are just existing.", Age
"I happen to be interested in watching a face age. I like faces of women aging so it makes me personally quite sad. That\'s a beautiful gift from God. If people don\'t want to see that anymore then I won\'t be in anymore movies.", Age
"Never say never, but the thought of electively cutting oneself is beyond my grasp, and I also object to it politically. Denying the lines on our faces makes a comment about age and wisdom I don\'t care to make.", Age
"Traveling to Russia and Germany and being able to see the world at a young age was really cool for me, and I really liked that.", Age
"What I really tried to do with Helen was make her show this sad side of her. She was married off at 16, was so young and living in this castle that can\'t leave because of how she looks, and married to a man she hates and three times her age.", Age
"No Congress ever has seen fit to amend the Constitution to address any issue related to marriage. No Constitutional Amendment was needed to ban polygamy or bigamy, nor was a Constitutional Amendment needed to set a uniform age of majority to ban child marriages.", Age
"I knew from a very young age that there was something very wrong with me.", Age
"The question isn\'t at what age I want to retire, it\'s at what income.", Age
"I feel like women are asked their age more than men.", Age
"Even in this day and age, if you\'re not married, there are people who are like, \'Awww! Don\'t worry, it\'ll happen for you someday.\'", Age
"We are an age without leaders. We stopped having leaders at the end of the 20th century.", Age
"In my old age, I have been thinking about this, and I have reached the conclusion that those who have physical courage also have moral courage.", Age
"I grew up on a farm in a small town where you do or say one thing and everybody knows about it. You see it happen, there\'s always the town gossip - \'Oh did you hear about so and so, or did you hear what went on in this household?\' So I learned at a very young age just to keep my mouth shut.", Age
"I did successfully kick tobacco at the age of 34. I smoked for like 20 years, from 14 to 34.", Age
"It is sobering to consider that when Mozart was my age he had already been dead for a year.", Age
"It is a sobering thought that when Mozart was my age, he had been dead for two years.", Age
"Every age, after all, must have its own aisling and dream of a better, kinder, happier, shared world.", Age
"My view is pensioners don\'t have the one option that people of working age have. They can\'t really increase their income, because they are no longer able to work.", Age
"Work is transformative. It gives you a greater chance of a greater income. You can affect your life while you\'re of working age, so you have scope and opportunity. Pensioners do not.", Age
"I definitely don\'t look my age. So I actively look for roles that will help people change their perception of me.", Age
"It\'s better to be unhappy alone than unhappy with someone - so far.", Alone
"It is strange to be known so universally and yet to be so lonely.", Alone
"It\'s often just enough to be with someone. I don\'t need to touch them. Not even talk. A feeling passes between you both. You\'re not alone.", Alone
"Alone we can do so little; together we can do so much.", Alone
"Associate with men of good quality if you esteem your own reputation; for it is better to be alone than in bad company.", Alone
"I restore myself when I\'m alone.", Alone
"I have to be alone very often. I\'d be quite happy if I spent from Saturday night until Monday morning alone in my apartment. That\'s how I refuel.", Alone
"I don\'t want to be alone, I want to be left alone.", Alone
"A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell or the Supreme abode.", Alone
"We allow our ignorance to prevail upon us and make us think we can survive alone, alone in patches, alone in groups, alone in races, even alone in genders.", Alone
"You cannot be lonely if you like the person you\'re alone with.", Alone
"If it\'s true that our species is alone in the universe, then I\'d have to say the universe aimed rather low and settled for very little.", Alone
"It is better to be alone than in bad company.", Alone
"Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.", Alone
"Every man must do two things alone; he must do his own believing and his own dying.", Alone
"I love to be alone. I never found the companion that was so companionable as solitude.", Alone
"Language... has created the word \'loneliness\' to express the pain of being alone. And it has created the word \'solitude\' to express the glory of being alone.", Alone
"Loneliness is my least favorite thing about life. The thing that I\'m most worried about is just being alone without anybody to care for or someone who will care for me.", Alone
"I finally faced the fact that it isn\'t a crime not having friends. Being alone means you have fewer problems.", Alone
"If you are lonely when you\'re alone, you are in bad company.", Alone
"Yes, I guess you could say I am a loner, but I feel more lonely in a crowed room with boring people than I feel on my own.", Alone
"I have never found a companion that was so companionable as solitude. We are for the most part more lonely when we go abroad among men than when we stay in our chambers. A man thinking or working is always alone, let him be where he will.", Alone
"Life could be wonderful if people would leave you alone.", Alone
"The only real progress lies in learning to be wrong all alone.", Alone
