@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'The only thing that interferes with my learning is my education.',' Education'
'The things I want to know are in books; my best friend is the man who\'ll get me a book I ain\'t read.',' Education'
'It is the mark of an educated mind to be able to entertain a thought without accepting it.',' Education'
'My mother said I must always be intolerant of ignorance but understanding of illiteracy. That some people, unable to go to school, were more educated and more intelligent than college professors.',' Education'
'Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught.',' Education'
'In the first place, God made idiots. That was for practice. Then he made school boards.',' Education'
'Education is the ability to listen to almost anything without losing your temper or your self-confidence.',' Education'
'An investment in knowledge pays the best interest.',' Education'
'The roots of education are bitter, but the fruit is sweet.',' Education'
'An education isn\'t how much you have committed to memory, or even how much you know. It\'s being able to differentiate between what you know and what you don\'t.',' Education'
'Education is not the filling of a pail, but the lighting of a fire.',' Education'
'Education is the best friend. An educated person is respected everywhere. Education beats the beauty and the youth.',' Education'
'The goal of education is the advancement of knowledge and the dissemination of truth.',' Education'
'Develop a passion for learning. If you do, you will never cease to grow.',' Education'
'It is a thousand times better to have common sense without education than to have education without common sense.',' Education'
'He who opens a school door, closes a prison.',' Education'
'Education is not preparation for life; education is life itself.',' Education'
'A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.',' Education'
'Education is the key to unlock the golden door of freedom.',' Education'
'A man who has never gone to school may steal from a freight car; but if he has a university education, he may steal the whole railroad.',' Education'
'Don\'t limit a child to your own learning, for he was born in another time.',' Education'
'Education is a progressive discovery of our own ignorance.',' Education'
'The only person who is educated is the one who has learned how to learn and change.',' Education'
'The doer alone learneth.',' Education'
'I spent three days a week for 10 years educating myself in the public library, and it\'s better than college. People should educate themselves - you can get a complete education for no money. At the end of 10 years, I had read every book in the library and I\'d written a thousand stories.',' Education'
'Education doesn\'t change life much. It just lifts trouble to a higher plane of regard.',' Education'
'I would rather entertain and hope that people learned something than educate people and hope they were entertained.',' Education'
'A human being is not attaining his full heights until he is educated.',' Education'
'Change is the end result of all true learning.',' Education'
'The direction in which education starts a man will determine his future in life.',' Education'
'No one has yet realized the wealth of sympathy, the kindness and generosity hidden in the soul of a child. The effort of every true education should be to unlock that treasure.',' Education'
'Why should society feel responsible only for the education of children, and not for the education of all adults of every age?',' Education'
'Education\'s purpose is to replace an empty mind with an open one.',' Education'
'Education is a better safeguard of liberty than a standing army.',' Education'
'America is becoming so educated that ignorance will be a novelty. I will belong to the select few.',' Education'
'Data is not information, information is not knowledge, knowledge is not understanding, understanding is not wisdom.',' Education'
'The illiterate of the future will not be the person who cannot read. It will be the person who does not know how to learn.',' Education'
'I am often amazed at how much more capability and enthusiasm for science there is among elementary school youngsters than among college students.',' Education'
'Education is simply the soul of a society as it passes from one generation to another.',' Education'
'Children have to be educated, but they have also to be left to educate themselves.',' Education'
'An educated person is one who has learned that information almost always turns out to be at best incomplete and very often false, misleading, fictitious, mendacious - just dead wrong.',' Education'
